loan_id,source,financial_institution,interest_rate,unpaid_principal_bal,Loan_term,origination_date,first_payment_date,loan_to_value,number_of_borrowers,debt_to_income_ratio,borrower_credit_score,loan_purpose,insurance_percent,co-borrower_credit_score,insurance_type,Occupation ,Borrower_State,EducationLevel,MaritalStatus,Age,Gender,EmploymentStatus,NumberOfDependents,Annual Income,current_month,total_on_time_payments,total_late_payments,avg_payment_delay,current_dpd,mx
6.31E+11,Y,Browning-Hart,3.25,226000,36,01/01/12,Mar-12,62,2,21,797,A23,0,813,0,Resident advisor,GA,Bachelor's,Single,28,Male,Employed,1,10761.90476,13,11,4,8.5,,1
3.74E+11,X,"Swanson, Newton and Miller",4.5,88000,30,01/02/12,Apr-12,75,2,19,814,B12,0,820,0,Pathologists' Assistant,NC,High School,Single,38,Male,Employed,1,4631.578947,15,13,4,10.5,,1
4.98E+11,X,OTHER,3.625,180000,6,01/02/12,Apr-12,78,2,18,798,B12,0,805,0,National Director of Operations,FL,High School,Single,48,Female,Employed,1,10000,19,15,6,14.166666666666666,,0
2.91E+11,Y,"Swanson, Newton and Miller",4,235000,36,01/01/12,Mar-12,90,1,41,772,C86,25,0,0,probation pilot,KY,Master's,Single,34,Female,Self-Employed,1,5731.707317,8,7,3,11.666666666666666,,1
2.69E+11,X,OTHER,3.875,281000,24,01/03/12,May-12,35,1,19,794,A23,0,0,0,Associate Media Director,NY,Master's,Divorced,57,Male,Employed,0,14789.47368,2,3,1,13,,1
6.91E+11,Y,Browning-Hart,4.125,527000,12,01/01/12,Mar-12,73,1,43,793,A23,0,0,0,GI TECH,NY,High School,Married,48,Female,Employed,0,12255.81395,8,3,7,13,17,0
6.64E+11,X,"Martinez, Duffy and Bird",3.95,340000,6,01/02/12,Apr-12,80,2,37,791,C86,0,739,0,financial advisor,NY,PhD,Divorced,23,Male,Employed,1,9189.189189,8,7,3,12.666666666666666,,1
6.25E+11,Y,Browning-Hart,4,230000,6,01/01/12,Mar-12,77,2,33,773,B12,0,774,0,CSR,CA,Master's,Married,18,Male,Employed,0,6969.69697,0,1,1,15,0,0
8.37E+11,Y,Browning-Hart,4.125,232000,30,01/02/12,Apr-12,80,2,34,769,C86,0,783,0,Administrator,PA,Master's,Single,38,Female,Self-Employed,0,6823.529412,22,13,11,11.909090909090908,,0
2.04E+11,Y,OTHER,4,70000,6,01/01/12,Mar-12,76,2,45,701,A23,0,723,0,Courier,TX,High School,Single,60,Female,Employed,1,1555.555556,1,2,1,13,,0
5.4E+11,Y,Anderson-Taylor,4.5,141000,12,01/01/12,Mar-12,69,2,46,784,A23,0,798,0,piloting Engineer,VA,High School,Divorced,27,Other,Unemployed,3,3065.217391,17,14,5,14,,1
3.05E+11,Y,OTHER,4.25,86000,30,01/01/12,Mar-12,46,2,25,820,A23,0,816,0,Managing Partner,PA,Master's,Divorced,33,Female,Employed,0,3440,15,12,5,10.8,,1
6.1E+11,Z,Browning-Hart,3.875,400000,24,01/02/12,Apr-12,44,2,38,823,A23,0,823,0,controller,TX,Master's,Married,41,Other,Self-Employed,2,10526.31579,5,3,4,14,,0
8.84E+11,X,OTHER,4.375,142000,12,01/01/12,Mar-12,95,1,26,809,C86,30,0,0,Consultant,MA,Bachelor's,Single,53,Female,Employed,1,5461.538462,24,17,8,13.875,,0
4.42E+11,X,Suarez Inc,3.875,111000,6,01/02/12,Apr-12,73,2,32,766,A23,0,690,0,laborer ,IL,Bachelor's,Married,19,Female,Self-Employed,0,3468.75,15,12,5,12.6,7,1
1.39E+11,X,Nicholson Group,4.25,178000,36,01/02/12,May-12,17,2,17,814,A23,0,818,0,Speech/Language Pathologist,LA,High School,Married,50,Female,Self-Employed,0,10470.58824,7,5,4,12.5,,0
9.05E+11,Y,OTHER,3.875,150000,24,01/02/12,Apr-12,50,1,40,772,B12,0,0,0,Program Engineer,CA,Master's,Married,32,Female,Self-Employed,0,3750,8,7,3,8.666666666666666,,1
9.07E+11,X,OTHER,4,76000,36,01/03/12,May-12,73,2,42,765,A23,0,777,0,Compensation analyst ,TX,Master's,Married,49,Female,Self-Employed,4,1809.52381,5,5,2,14.5,20,1
1.96E+11,Z,Browning-Hart,4.125,270000,36,01/03/12,May-12,46,2,23,793,A23,0,805,0,dealer,NC,Bachelor's,Single,29,Female,Self-Employed,1,11739.13043,18,14,6,14.5,,1
2.29E+11,X,OTHER,4.75,137000,12,01/02/12,Apr-12,80,1,21,623,A23,0,0,0,Assistant Engineer,FL,Master's,Single,36,Female,Self-Employed,1,6523.809524,4,3,3,15,,1
8.61E+11,Y,Browning-Hart,4,209000,6,01/02/12,Apr-12,43,2,31,796,B12,0,779,0,Sr. Accountant,VA,Doctorate,Single,45,Female,Employed,2,6741.935484,17,11,8,11.375,,1
3.35E+11,Y,Sanchez-Robinson,2.875,100000,36,01/02/12,Apr-12,59,2,20,770,B12,0,768,0,Day Care Provider,NY,Doctorate,Divorced,58,Female,Self-Employed,0,5000,3,3,2,20,,0
1.48E+11,X,Browning-Hart,4,180000,18,01/02/12,Apr-12,59,1,43,685,B12,0,0,0,Vice President,NJ,PhD,Divorced,44,Male,Employed,1,4186.046512,4,2,4,16.25,18,1
4.43E+11,Y,"Cole, Brooks and Vincent",4.5,244000,6,01/01/12,Mar-12,75,1,36,756,A23,0,0,0,Deli Engineer,NJ,Bachelor's,Single,56,Female,Self-Employed,3,6777.777778,10,9,3,15,17,1
7.61E+11,X,OTHER,3.95,196000,12,01/02/12,Mar-12,74,1,34,744,A23,0,0,0,Regional Sales Engineer,IL,PhD,Married,38,Female,Self-Employed,1,5764.705882,1,1,2,13,,0
8.01E+11,Y,OTHER,3.375,226000,36,01/02/12,Apr-12,64,1,27,773,A23,0,0,0,Clerk ,AL,Bachelor's,Single,18,Male,Employed,0,8370.37037,6,7,1,12,,1
9.69E+11,X,"Miller, Mcclure and Allen",4.875,86000,6,01/01/12,Mar-12,32,1,31,638,B12,0,0,0,IT Engineer  of Infrastructure and Ops.,TX,PhD,Single,46,Female,Self-Employed,3,2774.193548,7,7,2,12.5,,1
2.45E+11,X,Browning-Hart,3.375,85000,24,01/01/12,Mar-12,57,2,15,800,A23,0,812,0,Senior Bank Examiner,NV,Bachelor's,Married,41,Male,Employed,1,5666.666667,15,13,4,11.75,20,1
8.12E+11,X,OTHER,4.25,130000,6,01/02/12,Apr-12,39,1,34,650,B12,0,0,0,Auditor,MN,High School,Married,45,Male,Employed,0,3823.529412,22,16,8,14.625,,1
2.29E+11,X,"Martinez, Duffy and Bird",3.25,92000,12,01/01/12,Mar-12,35,2,43,808,A23,0,786,0,Corrections pilot,FL,Bachelor's,Divorced,32,Male,Employed,0,2139.534884,17,12,7,11.142857142857142,,1
7.49E+11,X,OTHER,3,170000,12,01/01/12,Mar-12,68,2,31,765,A23,0,784,0,forklift opr,GA,PhD,Married,49,Other,Self-Employed,1,5483.870968,10,7,5,14.6,,1
2.14E+11,Y,OTHER,3.25,107000,6,01/03/12,May-12,79,1,24,740,A23,0,0,0,editor,LA,PhD,Married,44,Female,Employed,2,4458.333333,6,4,4,12.75,,1
4.83E+11,X,OTHER,4,417000,12,01/02/12,Apr-12,61,2,22,766,A23,0,757,0,pilot,SC,High School,Single,30,Male,Employed,3,18954.54545,5,7,0,0,,1
1.75E+11,Y,Browning-Hart,4,80000,6,01/02/12,Apr-12,73,2,20,766,A23,0,775,0,Attorney (Partner),CO,PhD,Married,42,Male,Employed,1,4000,17,13,6,12.666666666666666,,1
9.35E+11,X,OTHER,3.75,106000,36,01/01/12,Mar-12,76,2,23,770,B12,0,771,0,Town Administrator,NC,PhD,Single,38,Female,Self-Employed,4,4608.695652,6,8,0,0,,1
6.79E+11,Y,Browning-Hart,4.25,165000,18,01/01/12,Mar-12,79,2,37,678,A23,0,693,0,Supervisor,NJ,Master's,Married,39,Female,Self-Employed,1,4459.459459,1,3,0,0,,1
7.5E+11,Y,Browning-Hart,3.875,172000,36,01/02/12,Apr-12,29,2,31,764,A23,0,789,0,Cell Engineer,TX,Bachelor's,Single,43,Female,Employed,3,5548.387097,16,13,5,14.2,13,0
7.1E+11,Z,Thornton-Davis,3.25,215000,36,01/02/12,Apr-12,75,1,44,790,B12,0,0,0,Assistant Professor of Spanish-Tenure Tr,MI,Master's,Single,43,Male,Employed,4,4886.363636,20,17,5,11.8,,1
3.49E+11,X,OTHER,4.125,106000,6,01/01/12,Mar-12,62,1,22,787,B12,0,0,0,Health Program Coordinator,CA,High School,Married,48,Female,Self-Employed,0,4818.181818,6,4,4,8.75,,0
5.98E+11,Y,OTHER,3.75,204000,12,01/02/12,Apr-12,85,2,41,806,B12,0,805,0,Engineer,NY,PhD,Married,51,Male,Employed,1,4975.609756,20,16,6,16.666666666666668,,1
6.75E+11,Y,"Turner, Baldwin and Rhodes",3.5,125000,12,01/01/12,Mar-12,85,1,45,726,C86,6,0,0,Lead Teacher,CA,Bachelor's,Married,51,Female,Employed,3,2777.777778,4,5,1,14,,1
5.63E+11,X,OTHER,3.875,170000,24,01/01/12,Mar-12,75,2,31,809,B12,0,804,0,"Asst Engineer, Estimator",CA,PhD,Divorced,25,Female,Self-Employed,1,5483.870968,9,8,3,11.666666666666666,,1
9.18E+11,X,Browning-Hart,4,187000,6,01/02/12,Apr-12,78,1,35,820,A23,0,0,0,Controls Technician,NY,PhD,Single,49,Female,Self-Employed,1,5342.857143,8,8,2,15.5,,1
8.15E+11,Y,Browning-Hart,3.875,300000,18,01/01/12,Mar-12,58,2,26,787,C86,0,787,0,Analyst-Accountant,DE,PhD,Single,58,Female,Employed,2,11538.46154,14,12,4,13,17,1
5.58E+11,X,"Swanson, Newton and Miller",4,405000,36,01/03/12,May-12,31,2,25,752,A23,0,755,0,RN,FL,High School,Married,66,Female,Self-Employed,1,16200,10,9,3,9.666666666666666,,1
2.12E+11,Y,OTHER,3.625,200000,18,01/02/12,Apr-12,74,2,23,807,B12,0,801,0,busser,MS,High School,Married,33,Male,Employed,0,8695.652174,9,9,2,6,,1
7.82E+11,X,OTHER,4,220000,12,01/01/12,Mar-12,68,1,40,672,B12,0,0,0,Senior attorney coodinator,NY,High School,Divorced,18,Female,Employed,3,5500,7,5,4,18.5,,0
3.52E+11,X,OTHER,3.375,171000,6,01/01/12,Mar-12,62,2,16,803,A23,0,801,0,housekeeping ,OH,PhD,Single,54,Male,Employed,0,10687.5,11,10,3,15.666666666666666,,0
9.68E+11,Z,"Sanchez, Hays and Wilkerson",3.75,396000,18,01/02/12,Apr-12,65,2,30,791,A23,0,792,0,Managing Director,NJ,Bachelor's,Married,18,Female,Employed,0,13200,10,8,4,11.5,,1
5.18E+11,X,"Miller, Mcclure and Allen",4.75,129000,24,01/01/12,Mar-12,70,1,42,637,B12,0,0,0,Warehouse Manger,MA,Bachelor's,Single,35,Male,Employed,2,3071.428571,15,12,5,12.6,,0
5.09E+11,Z,Browning-Hart,3.875,400000,18,01/02/12,Mar-12,56,2,22,786,B12,0,796,0,Senior Engineer,FL,High School,Single,50,Other,Unemployed,3,18181.81818,12,6,8,11.125,,1
1.23E+11,X,OTHER,3.375,244000,30,01/02/12,Apr-12,47,2,31,771,A23,0,773,0,Bartender,NY,Doctorate,Divorced,30,Female,Employed,1,7870.967742,24,18,7,12,,1
4E+11,X,OTHER,4.375,368000,30,01/02/12,Apr-12,75,1,29,752,C86,0,0,0,store Engineer,OH,Bachelor's,Divorced,34,Male,Employed,4,12689.65517,10,7,5,13.6,,1
2.38E+11,Y,Browning-Hart,4.125,267000,6,01/02/12,Apr-12,89,2,36,794,A23,25,796,0,forklift,MN,Bachelor's,Married,36,Male,Employed,1,7416.666667,15,12,5,14,,1
9.77E+11,Y,Browning-Hart,3.25,98000,36,01/01/12,Mar-12,49,2,13,820,A23,0,808,0,Certified Nurse's Aide,UT,High School,Married,30,Male,Employed,3,7538.461538,7,6,3,17,,0
7.12E+11,Y,Browning-Hart,4.5,344000,6,01/02/12,Apr-12,80,1,38,714,C86,0,0,0,machine operator ,CA,PhD,Married,31,Female,Employed,1,9052.631579,2,3,1,14,,1
5.79E+11,X,Browning-Hart,4,274000,18,01/02/12,Apr-12,77,1,37,748,A23,0,0,0,Senior Consultant,MS,Bachelor's,Married,51,Male,Employed,1,7405.405405,1,2,1,11,,1
5.16E+11,X,OTHER,4,296000,12,01/01/12,Mar-12,90,2,13,759,A23,25,799,0,TECHNICIAN,CA,Master's,Single,25,Female,Self-Employed,1,22769.23077,9,8,3,9.666666666666666,,1
7.32E+11,X,OTHER,3.25,120000,12,01/02/12,Apr-12,56,1,27,809,B12,0,0,0,pilot,MD,High School,Married,36,Female,Self-Employed,1,4444.444444,12,8,6,16.333333333333332,18,1
5.14E+11,Y,Browning-Hart,4.125,116000,18,01/01/12,Mar-12,97,1,38,777,C86,35,0,0,HEDIS Engineer ,CA,Bachelor's,Divorced,40,Male,Employed,1,3052.631579,10,7,5,15.6,19,1
5.14E+11,X,OTHER,3.75,121000,24,01/02/12,Apr-12,95,2,35,802,C86,30,810,0,Underwriting Assistant,CT,Master's,Single,42,Female,Employed,2,3457.142857,24,17,8,9.75,,1
4.21E+11,X,"Swanson, Newton and Miller",4.5,175000,36,01/01/12,Mar-12,75,2,31,755,B12,0,758,0,Security Guard,CA,Bachelor's,Married,25,Male,Employed,1,5645.16129,24,19,6,14.833333333333334,14,1
3.84E+11,Y,Browning-Hart,4,280000,30,01/02/12,Apr-12,80,1,17,729,C86,0,0,0,Assistant Professor,PA,High School,Divorced,55,Female,Self-Employed,3,16470.58824,9,6,5,12.8,13,0
8.14E+11,X,OTHER,3.25,415000,24,01/02/12,Apr-12,64,1,18,814,B12,0,0,0,Office Clerk,AL,Master's,Single,29,Female,Employed,4,23055.55556,2,3,1,16,16,1
1.74E+11,X,OTHER,4.25,99000,12,01/01/12,Mar-12,54,2,22,812,A23,0,815,0,Police pilot,TX,Bachelor's,Married,29,Male,Employed,0,4500,3,1,4,14,13,0
7.35E+11,Y,Browning-Hart,3.875,252000,6,01/01/12,Mar-12,71,2,41,771,A23,0,801,0,Chairman,NJ,High School,Married,44,Female,Employed,3,6146.341463,8,8,2,12,,1
5.75E+11,Y,OTHER,2.875,83000,18,01/03/12,May-12,26,2,35,797,A23,0,814,0,Guidance counselor,NV,High School,Single,45,Other,Unemployed,3,2371.428571,8,7,3,8,,1
5.31E+11,Y,Browning-Hart,4,328000,18,01/01/12,Mar-12,95,2,32,734,C86,30,769,0,sales rep,CA,PhD,Divorced,48,Female,Employed,0,10250,9,8,3,8.666666666666666,,1
4.38E+11,X,Browning-Hart,4,251000,36,01/01/12,Mar-12,32,2,40,787,A23,0,702,0,Engineer,WA,High School,Single,36,Female,Self-Employed,4,6275,13,11,4,12.5,,0
6.6E+11,Y,Browning-Hart,4.5,120000,36,01/01/12,Mar-12,80,1,10,800,B12,0,0,0,Assistant Store Engineer,TX,High School,Married,43,Male,Employed,0,12000,9,8,3,9.666666666666666,,1
4.93E+11,Z,Browning-Hart,2.75,170000,6,01/02/12,Apr-12,57,2,22,745,A23,0,748,0,Administrative ASSISTANT III,OR,High School,Married,30,Female,Self-Employed,1,7727.272727,13,9,6,12,10,1
4.51E+11,X,OTHER,4,169000,18,01/02/12,Apr-12,69,1,28,779,A23,0,0,0,Evening Engineer,FL,PhD,Married,29,Male,Employed,0,6035.714286,0,1,1,12,0,0
5.29E+11,Y,Edwards-Hoffman,3,310000,36,01/02/12,Apr-12,65,1,41,783,A23,0,0,0,pilot,IL,Master's,Single,56,Male,Employed,1,7560.97561,22,14,10,13.8,13,1
2.27E+11,X,OTHER,3,130000,12,01/03/12,May-12,75,2,21,810,A23,0,806,0,Legal Secretary,OH,Bachelor's,Single,41,Male,Employed,3,6190.47619,18,16,4,14.75,,1
8.02E+11,Y,OTHER,4.5,195000,12,01/01/12,Mar-12,85,2,37,776,C86,12,787,0,Vice President,MD,Master's,Married,47,Female,Self-Employed,3,5270.27027,13,11,4,10,,1
4.74E+11,Y,Browning-Hart,3.625,179000,6,01/01/12,Mar-12,75,2,38,769,C86,0,761,0,Export Engineer,MI,PhD,Single,36,Female,Employed,1,4710.526316,22,18,6,12.333333333333334,,0
1.06E+11,Y,Browning-Hart,4,268000,36,01/01/12,Mar-12,80,2,42,727,C86,0,713,0,Teacher,TX,High School,Married,47,Male,Employed,4,6380.952381,2,3,1,10,,1
1.07E+11,X,OTHER,3.625,380000,30,01/02/12,Apr-12,59,2,28,802,A23,0,802,0,Replensher,AR,PhD,Single,52,Female,Employed,1,13571.42857,7,8,1,12,,1
8.58E+11,Z,Browning-Hart,3.875,297000,24,01/02/12,Apr-12,64,2,16,784,A23,0,784,0,Property Engineer,VA,High School,Married,49,Other,Self-Employed,3,18562.5,21,16,7,10.571428571428571,,0
7.64E+11,X,OTHER,3,286000,36,01/03/12,May-12,75,2,21,787,A23,0,783,0,Professor of Accounting,TX,PhD,Divorced,47,Male,Employed,0,13619.04762,15,11,6,13.666666666666666,,0
8.32E+11,X,"Martinez, Duffy and Bird",3.875,263000,30,01/03/12,May-12,47,1,33,770,C86,0,0,0,Account executive,WI,High School,Single,38,Female,Employed,2,7969.69697,2,3,1,17,,1
9.65E+11,Z,OTHER,3.75,172000,12,01/02/12,Apr-12,61,2,18,803,B12,0,0,0,Network Systems pilot,FL,Bachelor's,Married,38,Male,Employed,0,9555.555556,10,8,4,12,,1
9.05E+11,X,OTHER,4.625,40000,30,01/03/12,May-12,62,1,35,760,B12,0,0,0,Customer Service,WA,High School,Married,18,Male,Employed,2,1142.857143,19,14,7,10.714285714285714,,1
3.13E+11,X,OTHER,3.25,94000,18,01/02/12,Apr-12,50,2,26,809,A23,0,812,0,SR Information Security Analyst ,FL,High School,Married,32,Female,Self-Employed,3,3615.384615,19,14,7,12.714285714285714,,1
5E+11,X,OTHER,3.625,187000,24,01/02/12,Apr-12,72,2,31,709,B12,0,775,0,pilot,HI,High School,Married,45,Female,Employed,0,6032.258065,24,16,9,11.666666666666666,6,1
7.21E+11,X,"Miller, Mcclure and Allen",4.75,125000,36,01/01/12,Mar-12,80,2,28,770,B12,0,759,0,Police pilot,FL,PhD,Divorced,27,Male,Employed,2,4464.285714,18,11,9,16.88888888888889,,1
3.4E+11,X,OTHER,3.125,70000,36,01/01/12,Mar-12,64,1,29,776,A23,0,0,0,lab assistant,CA,Master's,Divorced,37,Female,Self-Employed,3,2413.793103,20,16,6,13,19,1
4.61E+11,Y,Browning-Hart,3.125,372000,24,01/02/12,Apr-12,76,1,35,797,A23,0,0,0,Electrician,WA,Bachelor's,Married,43,Male,Employed,0,10628.57143,3,4,1,16,,1
1.66E+11,Z,Richards-Walters,3.375,210000,18,01/01/12,Mar-12,38,2,16,800,A23,0,812,0,Escrow pilot,CA,PhD,Single,34,Male,Employed,2,13125,12,9,5,11.6,,1
3.41E+11,Y,OTHER,4,234000,18,01/03/12,May-12,90,1,28,775,A23,25,0,0,recruiter,NV,PhD,Married,24,Male,Employed,2,8357.142857,16,14,4,12.5,15,1
8.17E+11,X,"Martinez, Duffy and Bird",3.54,100000,24,01/02/12,Apr-12,59,1,40,795,A23,0,0,0,teacher,IL,Master's,Single,38,Other,Self-Employed,1,2500,2,3,1,20,,1
2.97E+11,X,"Swanson, Newton and Miller",4.375,102000,18,01/02/12,Apr-12,43,2,37,764,A23,0,777,0,Factory worker,TX,PhD,Married,42,Other,Self-Employed,0,2756.756757,23,17,8,13.125,17,1
5.32E+11,Y,"Martinez, Duffy and Bird",3.75,78000,12,01/01/12,Apr-12,54,1,33,785,A23,0,0,0,President,VA,Bachelor's,Single,34,Male,Employed,1,2363.636364,16,10,8,11.625,,0
3.55E+11,X,OTHER,3.25,142000,24,01/01/12,Mar-12,67,1,44,813,B12,0,0,0,assembly,MO,High School,Married,30,Other,Unemployed,1,3227.272727,11,9,4,11.75,,0
5.57E+11,Z,Nicholson Group,3.875,191000,36,01/03/12,May-12,75,1,42,820,A23,0,0,0,community health worker,CO,PhD,Married,22,Male,Employed,4,4547.619048,23,18,7,13,,1
2.09E+11,Y,Sanchez-Robinson,3.125,163000,24,01/01/12,Mar-12,72,2,22,720,B12,0,752,0,Staff Accountant,VA,Master's,Divorced,52,Female,Self-Employed,1,7409.090909,1,2,1,18,18,1
5.24E+11,X,"Miller, Mcclure and Allen",3.5,94000,36,01/01/12,Mar-12,80,1,21,808,A23,0,0,0,9707 Richmond Ave Apt 65,CA,High School,Single,39,Male,Employed,2,4476.190476,8,6,4,13.75,20,0
6.84E+11,X,OTHER,3.375,150000,18,01/02/12,Apr-12,67,1,47,782,C86,0,0,0,Senior Network pilot,GA,Bachelor's,Single,18,Other,Self-Employed,1,3191.489362,18,16,4,13.75,15,1
1.44E+11,X,Browning-Hart,4,125000,12,01/02/12,Apr-12,70,1,40,745,C86,0,0,0,Admin Support,TX,PhD,Married,42,Female,Employed,5,3125,11,9,4,16.25,18,0
8.68E+11,Y,Richards-Walters,3.875,327000,18,01/02/12,Apr-12,53,2,36,821,A23,0,814,0,Paint Technician,CA,Bachelor's,Divorced,38,Male,Employed,5,9083.333333,14,10,6,14.666666666666666,10,1
4.51E+11,Y,Browning-Hart,4.625,417000,30,01/02/12,Apr-12,42,2,21,644,C86,0,641,0,Engineer,CA,Master's,Married,23,Female,Employed,3,19857.14286,17,11,8,12.125,,0
2.8E+11,X,OTHER,4.375,124000,6,01/02/12,Apr-12,66,1,42,802,A23,0,0,0,Attorney,TN,High School,Single,35,Male,Employed,3,2952.380952,11,7,6,10.833333333333334,,0
8.39E+11,X,OTHER,4,97000,6,01/01/12,Mar-12,30,1,6,808,A23,0,0,0,driver,AL,High School,Divorced,37,Male,Employed,0,16166.66667,16,12,6,11.166666666666666,,0
9.65E+11,Z,Browning-Hart,4.75,100000,6,01/01/12,Mar-12,63,1,26,668,B12,0,0,0,Energy Advisor,PA,Bachelor's,Single,46,Male,Employed,1,3846.153846,11,7,6,8.833333333333334,6,1
6.5E+11,Z,OTHER,3.375,134000,12,01/01/12,Mar-12,85,2,30,766,B12,6,752,0,Office Engineer,DC,High School,Divorced,44,Other,Self-Employed,0,4466.666667,10,7,5,12.6,,1
7.16E+11,X,Browning-Hart,4,400000,30,01/02/12,Apr-12,71,2,30,710,A23,0,739,0,Senior Project Engineer,GA,Bachelor's,Married,33,Male,Employed,0,13333.33333,14,10,6,11.833333333333334,6,1
3.09E+11,X,Browning-Hart,3,394000,24,01/02/12,Apr-12,67,1,22,802,C86,0,0,0,Custom Applicator,TN,Master's,Married,55,Female,Employed,3,17909.09091,4,6,0,0,,1
5.56E+11,X,Browning-Hart,3.875,326000,18,01/03/12,May-12,75,1,43,802,B12,0,0,0,Senior Project pilot,CA,Bachelor's,Single,48,Male,Employed,4,7581.395349,22,19,5,10.4,,1
4.3E+11,Y,Browning-Hart,4.125,116000,30,01/01/12,Mar-12,75,1,16,802,C86,0,0,0,Mortgage Underwriter,FL,Doctorate,Single,41,Female,Employed,3,7250,24,20,5,13,11,1
4.02E+11,Z,OTHER,4.375,209000,18,01/03/12,May-12,95,1,44,720,C86,30,0,0,Warehouse op. 2,TN,Doctorate,Married,33,Female,Self-Employed,0,4750,19,12,9,9.333333333333334,,0
5.66E+11,Y,Richards-Walters,3.5,217000,12,01/01/12,Mar-12,70,2,30,801,A23,0,803,0,Chief Operating pilot,MO,High School,Married,38,Male,Employed,1,7233.333333,8,7,3,10.666666666666666,14,1
2.73E+11,X,"Swanson, Newton and Miller",4.25,160000,24,01/02/12,Apr-12,80,1,33,710,B12,0,0,0,Mortgage Underwriter,VA,Master's,Married,21,Male,Employed,4,4848.484848,1,2,1,8,,1
8.71E+11,X,OTHER,3.5,250000,12,01/02/12,Apr-12,65,2,25,722,A23,0,794,0,Senior Information Security Specialist,TX,High School,Married,36,Female,Employed,0,10000,7,5,4,13.75,,0
8.03E+11,Y,Browning-Hart,3.75,306000,18,01/03/12,May-12,78,1,19,790,B12,0,0,0,Owner,HI,PhD,Married,43,Male,Employed,4,16105.26316,6,5,3,9.666666666666666,,0
4.97E+11,X,OTHER,4.25,515000,24,01/02/12,Apr-12,43,1,41,790,A23,0,0,0,Repair Admin,MI,Master's,Married,53,Male,Employed,0,12560.97561,10,8,4,11.5,,1
6.42E+11,Y,Browning-Hart,4.375,109000,30,01/01/12,Mar-12,80,2,37,809,C86,0,817,0,Accounts Receivable Engineer,NJ,High School,Single,42,Male,Employed,0,2945.945946,0,0,2,17.5,0,0
2.93E+11,X,OTHER,4.125,221000,24,01/01/12,Mar-12,75,2,32,785,B12,0,785,0,"SVP, Chief Administrative pilot",PA,High School,Single,44,Male,Employed,1,6906.25,22,14,10,10.5,,1
1.63E+11,X,OTHER,3.75,383000,18,01/03/12,May-12,77,2,21,802,A23,0,807,0,Dental Assis,NY,Bachelor's,Married,40,Male,Employed,2,18238.09524,14,9,7,12.285714285714286,19,1
7.71E+11,X,"Swanson, Newton and Miller",4.125,154000,30,01/02/12,Apr-12,80,1,41,788,B12,0,0,0,security pilot,CA,High School,Single,31,Female,Self-Employed,0,3756.097561,23,13,12,12.25,17,1
6.34E+11,X,OTHER,4.875,104000,6,01/03/12,May-12,80,1,29,699,B12,0,0,0,Versitle Technician,VA,Bachelor's,Single,35,Female,Employed,0,3586.206897,12,10,4,11,,1
1.31E+11,Y,Browning-Hart,3.25,100000,6,01/02/12,Apr-12,54,2,37,794,B12,0,811,0,Laborer,FL,High School,Divorced,18,Male,Employed,2,2702.702703,18,14,6,11.5,,0
4.16E+11,X,Browning-Hart,4,115000,6,01/02/12,Apr-12,43,1,34,810,B12,0,0,0,sales Engineer ,NY,Master's,Single,37,Male,Employed,2,3382.352941,12,11,3,12.333333333333334,,1
9.7E+11,Y,Browning-Hart,3.75,220000,24,01/02/12,Apr-12,80,1,30,769,C86,0,0,0,Senior Designer,CA,High School,Married,47,Female,Employed,0,7333.333333,23,15,10,13.5,17,1
2.86E+11,X,Browning-Hart,4.625,68000,24,01/02/12,Apr-12,70,1,41,763,A23,0,0,0,Controller,IN,High School,Married,41,Male,Employed,4,1658.536585,8,7,3,10.333333333333334,12,0
7.19E+11,X,OTHER,3.5,360000,24,01/01/12,Mar-12,73,2,34,665,A23,0,759,0,Broker ,PA,Master's,Married,47,Male,Employed,0,10588.23529,4,2,4,10.75,15,0
7.07E+11,Z,OTHER,4.5,266000,6,01/01/12,Mar-12,80,2,43,681,A23,0,704,0,asst superintendent,PA,Bachelor's,Single,44,Female,Employed,1,6186.046512,7,7,2,18.5,,0
6.25E+11,X,OTHER,4,216000,30,01/02/12,Apr-12,80,2,24,774,C86,0,803,0,Locomotive pilot ,NY,Master's,Single,40,Female,Employed,4,9000,17,15,4,15.75,,1
7.81E+11,Y,Sanchez-Robinson,3.625,93000,6,01/02/12,Apr-12,65,2,24,799,A23,0,804,0,Assett Verification,WA,High School,Married,41,Male,Employed,2,3875,3,4,1,7,,1
9.99E+11,X,Browning-Hart,3.875,120000,30,01/01/12,Mar-12,56,1,19,802,C86,0,0,0,Software Analyst,MN,PhD,Married,37,Male,Employed,2,6315.789474,13,11,4,12.25,,1
8.17E+11,Y,OTHER,4.125,290000,12,01/02/12,Apr-12,88,2,37,791,C86,25,762,0,Regional BIM Engineer,NC,Bachelor's,Married,24,Female,Self-Employed,0,7837.837838,1,2,1,16,16,1
9.46E+11,X,OTHER,3.875,356000,12,01/01/12,Mar-12,95,2,38,768,C86,30,779,0,laborer,CT,High School,Single,56,Male,Employed,1,9368.421053,2,3,1,19,,1
1.52E+11,Z,"Taylor, Hunt and Rodriguez",4.375,282000,24,01/01/12,Mar-12,79,2,44,727,A23,0,764,0,Associate Pastor,CO,PhD,Married,51,Other,Unemployed,3,6409.090909,19,16,5,10.6,,1
